0	5	139.31205556	90.076443285
5	10	90.076443285	73.550954465
10	15	73.550954465	60.160314629
15	20	60.160314629	49.170583467
20	25	49.170583467	39.976562699
25	30	39.976562699	32.244249667
30	35	32.244249667	25.759181732
35	40	25.759181732	20.34720405
40	45	20.34720405	15.825845712
45	50	15.825845712	12.124682341
50	55	12.124682341	9.1265648619
55	60	9.1265648619	6.7295139899
60	65	6.7295139899	4.847833503
65	70	4.847833503	3.417157045
70	75	3.417157045	2.3419984015
75	80	2.3419984015	1.5505218265
80	85	1.5505218265	0.97335298409
85	90	0.97335298409	0.55599209082
90	95	0.55599209082	0.25107233962
