0    5    200.08304027    138.4621563
5    10    138.4621563    113.29622149
10    15    113.29622149    93.154708867
15    20    93.154708867    76.548526153
20    25    76.548526153    62.624436461
25    30    62.624436461    50.828798172
30    35    50.828798172    40.823527448
35    40    40.823527448    32.370292755
40    45    32.370292755    25.289080671
45    50    25.289080671    19.386839611
50    55    19.386839611    14.523946042
55    60    14.523946042    10.621850074
60    65    10.621850074    7.5513825892
65    70    7.5513825892    5.1963401188
70    75    5.1963401188    3.4442194378
75    80    3.4442194378    2.1998311414
80    85    2.1998311414    1.3392965599
85    90    1.3392965599    0.74689727945
90    95    0.74689727945    0.33406069415
