0  1  415  399
1  2  399  389
2  3  389  379
3  4  379  368
4  5  368  357
5  6  357  346
6  7  346  336
7  8  336  326
8  9  326  316
9  10  316  306
10  11  306  297
11  12  297  287
12  13  287  278
13  14  278  270
14  15  270  261
15  16  261  253
16  17  253  245
17  18  245  237
18  19  237  230
19  20  230  222
20  21  222  215
21  22  215  208
22  23  208  201
23  24  201  194
24  25  194  188
25  26  188  181
26  27  181  175
27  28  175  169
28  29  169  163
29  30  163  158
30  31  158  152
31  32  152  147
32  33  147  141
33  34  141  136
34  35  136  131
35  36  131  126
36  37  126  121
37  38  121  117
38  39  117  112
39  40  112  108
40  41  108  103
41  42  103  99
42  43  99  95
43  44  95  91
44  45  91  87
45  46  87  84
46  47  84  80
47  48  80  77
48  49  77  73
49  50  73  70
50  51  70  67
51  52  67  63
52  53  63  60
53  54  60  57
54  55  57  55
55  56  55  52
56  57  52  49
57  58  49  47
58  59  47  44
59  60  44  42
60  61  42  40
61  62  40  37
62  63  37  35
63  64  35  33
64  65  33  31
65  66  31  29
66  67  29  27
67  68  27  26
68  69  26  24
69  70  24  22
