0    1    200.08304027    165.43568556
1    2    165.43568556    157.47365478
2    3    157.47365478    150.68590295
3    4    150.68590295    144.39303349
4    5    144.39303349    138.4621563
5    6    138.4621563    132.88764506
6    7    132.88764506    127.58604365
7    8    127.58604365    122.60487497
8    9    122.60487497    117.81386704
9    10    117.81386704    113.29622149
10    11    113.29622149    108.91287916
11    12    108.91287916    104.73836447
12    13    104.73836447    100.70615143
13    14    100.70615143    96.859309452
14    15    96.859309452    93.154708867
15    16    93.154708867    89.580463285
16    17    89.580463285    86.141636658
17    18    86.141636658    82.818559618
18    19    82.818559618    79.624199094
19    20    79.624199094    76.548526153
20    21    76.548526153    73.575186159
21    22    73.575186159    70.676480981
22    23    70.676480981    67.895758293
23    24    67.895758293    65.215678129
24    25    65.215678129    62.624436461
25    26    62.624436461    60.093719697
26    27    60.093719697    57.653764392
27    28    57.653764392    55.305992909
28    29    55.305992909    53.052580968
29    30    53.052580968    50.828798172
30    31    50.828798172    48.681141709
31    32    48.681141709    46.612530028
32    33    46.612530028    44.621215924
33    34    44.621215924    42.678461667
34    35    42.678461667    40.823527448
35    36    40.823527448    39.026167654
36    37    39.026167654    37.276941586
37    38    37.276941586    35.579786376
38    39    35.579786376    33.945302162
39    40    33.945302162    32.370292755
40    41    32.370292755    30.84767444
41    42    30.84767444    29.382437389
42    43    29.382437389    27.963227687
43    44    27.963227687    26.597720396
44    45    26.597720396    25.289080671
45    46    25.289080671    24.021436845
46    47    24.021436845    22.803509276
47    48    22.803509276    21.621051415
48    49    21.621051415    20.488965121
49    50    20.488965121    19.386839611
50    51    19.386839611    18.328008519
51    52    18.328008519    17.324914915
52    53    17.324914915    16.348337807
53    54    16.348337807    15.413533371
54    55    15.413533371    14.523946042
55    56    14.523946042    13.672330452
56    57    13.672330452    12.854954597
57    58    12.854954597    12.073758993
58    59    12.073758993    11.331419826
59    60    11.331419826    10.621850074
60    61    10.621850074    9.9490151633
61    62    9.9490151633    9.306365588
62    63    9.306365588    8.6917109578
63    64    8.6917109578    8.1075099212
64    65    8.1075099212    7.5513825892
65    66    7.5513825892    7.0282611033
66    67    7.0282611033    6.5335124654
67    68    6.5335124654    6.0588402245
68    69    6.0588402245    5.6150851416
69    70    5.6150851416    5.1963401188
70    71    5.1963401188    4.7985037598
71    72    4.7985037598    4.4281612301
72    73    4.4281612301    4.0783002692
73    74    4.0783002692    3.7498020906
74    75    3.7498020906    3.4442194378
75    76    3.4442194378    3.1598663114
76    77    3.1598663114    2.8935348461
77    78    2.8935348461    2.6470069258
78    79    2.6470069258    2.4155827931
79    80    2.4155827931    2.1998311414
80    81    2.1998311414    2.00091938
81    82    2.00091938    1.8168767139
82    83    1.8168767139    1.6459353685
83    84    1.6459353685    1.4879122549
84    85    1.4879122549    1.3392965599
85    86    1.3392965599    1.2031801476
86    87    1.2031801476    1.0756269336
87    88    1.0756269336    0.9590809723
88    89    0.9590809723    0.84914397589
89    90    0.84914397589    0.74689727945
90    91    0.74689727945    0.65395846367
91    92    0.65395846367    0.56503502056
92    93    0.56503502056    0.48291594439
93    94    0.48291594439    0.40545713498
94    95    0.40545713498    0.33406069415
95    96    0.33406069415    0.265860297
96    97    0.265860297    0.20181887503
97    98    0.20181887503    0.14093241515
98    99    0.14093241515    0.080476739324
