0.5 415 399
1.5 399 389
2.5 389 378
3.5 378 368
4.5 368 357
5.5 357 346
6.5 346 336
7.5 336 326
8.5 326 316
9.5 316 306
10.5 306 297
11.5 297 288
12.5 288 279
13.5 279 270
14.5 270 262
15.5 262 253
16.5 253 245
17.5 245 237
18.5 237 230
19.5 230 223
20.5 223 215
21.5 215 208
22.5 208 201
23.5 201 195
24.5 195 188
25.5 188 182
26.5 182 175
27.5 175 169
28.5 169 163
29.5 163 158
30.5 158 152
31.5 152 147
32.5 147 141
33.5 141 136
34.5 136 131
35.5 131 126
36.5 126 122
37.5 122 117
38.5 117 112
39.5 112 108
40.5 108 104
41.5 104 99
42.5 99 95
43.5 95 91
44.5 91 88
45.5 88 84
46.5 84 80
47.5 80 77
48.5 77 73
49.5 73 70
50.5 70 67
51.5 67 64
52.5 64 61
53.5 61 58
54.5 58 55
55.5 55 52
56.5 52 49
57.5 49 47
58.5 47 44
59.5 44 42
60.5 42 40
61.5 40 37
62.5 37 35
63.5 35 33
64.5 33 31
65.5 31 29
66.5 29 27
67.5 27 26
68.5 26 24
69.5 24 22
