0    1    217.55212265    176.34726155
1    2    176.34726155    168.00881294
2    3    168.00881294    160.7095387
3    4    160.7095387    153.92426068
4    5    153.92426068    147.53236523
5    6    147.53236523    141.48675873
6    7    141.48675873    135.75109088
7    8    135.75109088    130.30994535
8    9    130.30994535    125.17291281
9    10    125.17291281    120.22292026
10    11    120.22292026    115.56539472
11    12    115.56539472    111.04710091
12    13    111.04710091    106.70102376
13    14    106.70102376    102.54837195
14    15    102.54837195    98.551846855
15    16    98.551846855    94.714634233
16    17    94.714634233    90.998237704
17    18    90.998237704    87.433335305
18    19    87.433335305    84.009729689
19    20    84.009729689    80.717463466
20    21    80.717463466    77.506313894
21    22    77.506313894    74.417028065
22    23    74.417028065    71.428784829
23    24    71.428784829    68.504197342
24    25    68.504197342    65.725652999
25    26    65.725652999    63.033063204
26    27    63.033063204    60.418128142
27    28    60.418128142    57.896709913
28    29    57.896709913    55.462050646
29    30    55.462050646    53.12269895
30    31    53.12269895    50.833494781
31    32    50.833494781    48.628925205
32    33    48.628925205    46.478305467
33    34    46.478305467    44.408093578
34    35    44.408093578    42.427493684
35    36    42.427493684    40.508513764
36    37    40.508513764    38.660763675
37    38    38.660763675    36.885211056
38    39    36.885211056    35.152184137
39    40    35.152184137    33.462968184
40    41    33.462968184    31.845761276
41    42    31.845761276    30.304740072
42    43    30.304740072    28.815772099
43    44    28.815772099    27.378023406
44    45    27.378023406    25.994259729
45    46    25.994259729    24.660881689
46    47    24.660881689    23.377066545
47    48    23.377066545    22.143844836
48    49    22.143844836    20.954818154
49    50    20.954818154    19.81295712
50    51    19.81295712    18.729049199
51    52    18.729049199    17.687267199
52    53    17.687267199    16.683072887
53    54    16.683072887    15.720784764
54    55    15.720784764    14.803019723
55    56    14.803019723    13.923053819
56    57    13.923053819    13.081588789
57    58    13.081588789    12.277652454
58    59    12.277652454    11.503707589
59    60    11.503707589    10.771762839
60    61    10.771762839    10.073461414
61    62    10.073461414    9.4071509882
62    63    9.4071509882    8.7768831983
63    64    8.7768831983    8.1804406123
64    65    8.1804406123    7.6075593776
65    66    7.6075593776    7.0689305138
66    67    7.0689305138    6.558203477
67    68    6.558203477    6.0782224009
68    69    6.0782224009    5.627067098
69    70    5.627067098    5.2015222029
70    71    5.2015222029    4.7944264327
71    72    4.7944264327    4.4162612277
72    73    4.4162612277    4.0606604542
73    74    4.0606604542    3.7331222057
74    75    3.7331222057    3.4236311837
75    76    3.4236311837    3.1323126775
76    77    3.1323126775    2.8626921103
77    78    2.8626921103    2.6151165632
78    79    2.6151165632    2.3829449999
79    80    2.3829449999    2.1648745961
80    81    2.1648745961    1.9649755347
81    82    1.9649755347    1.7769169154
82    83    1.7769169154    1.6039329356
83    84    1.6039329356    1.4432659245
84    85    1.4432659245    1.2949700943
85    86    1.2949700943    1.1574765556
86    87    1.1574765556    1.0308383713
87    88    1.0308383713    0.9133127299
88    89    0.9133127299    0.8031161224
89    90    0.8031161224    0.7028075084
90    91    0.7028075084    0.6093025029
91    92    0.6093025029    0.5234597432
92    93    0.5234597432    0.4426948417
93    94    0.4426948417    0.3683205492
94    95    0.3683205492    0.2991010021
95    96    0.2991010021    0.2360109353
96    97    0.2360109353    0.1774291937
97    98    0.1774291937    0.1217703889
98    99    0.1217703889    0.0681930782
99    100    0.0681930782    0
