-9020213	Anti-a1(1640)+	1.647	0.254	3	0	0	0	0	0	-1	1
-9020213	2	1	225	-211	0	0	0				
-9010213	Anti-pi1(1600)+	1.662	0.23	3	0	0	0	0	0	-1	5
-9010213	2	0.3334	331	-211	0	0	0				
-9010213	2	0.16665	10113	-211	0	0	0				
-9010213	2	0.16665	113	-211	0	0	0				
-9010213	2	0.16665	-213	111	0	0	0				
-9010213	2	0.16665	-10213	111	0	0	0				
-9000325	Anti-K2(1580)+	1.46	0.11	5	0	-1	0	0	0	-1	5
-9000325	2	0.4	-315	-211	0	0	0				
-9000325	2	0.2	-321	225	0	0	0				
-9000325	2	0.2	-325	111	0	0	0				
-9000325	2	0.1333	-313	-211	0	0	0				
-9000325	2	0.0667	-323	111	0	0	0				
-9000323	Anti-K1(1650)+	1.65	0.15	3	0	-1	0	0	0	-1	5
-9000323	2	0.313	-323	111	0	0	0				
-9000323	2	0.28	-321	113	0	0	0				
-9000323	2	0.157	-313	-211	0	0	0				
-9000323	2	0.14	-311	-213	0	0	0				
-9000323	2	0.11	-321	333	0	0	0				
-9000315	Anti-K2(1580)0	1.46	0.11	5	0	-1	0	0	0	0	10
-9000315	3	0.087	-323	211	111	0	0				
-9000315	3	0.043	-313	-211	211	0	0				
-9000315	2	0.333	-321	211	0	0	0				
-9000315	2	0.168	-323	211	0	0	0				
-9000315	2	0.166	-311	111	0	0	0				
-9000315	2	0.084	-313	111	0	0	0				
-9000315	2	0.059	-321	213	0	0	0				
-9000315	2	0.029	-311	223	0	0	0				
-9000315	2	0.029	-311	113	0	0	0				
-9000315	2	0.002	-311	221	0	0	0				
-9000313	Anti-K1(1650)0	1.65	0.15	3	0	-1	0	0	0	0	5
-9000313	2	0.313	-313	111	0	0	0				
-9000313	2	0.28	-311	113	0	0	0				
-9000313	2	0.157	-323	211	0	0	0				
-9000313	2	0.14	-321	213	0	0	0				
-9000313	2	0.11	-311	333	0	0	0				
-9000217	Anti-rho3(1990)+	1.982	0.188	7	0	0	0	0	0	-1	7
-9000217	4	0.55	-211	-211	211	111	0				
-9000217	3	0.0127	-311	311	-211	0	0				
-9000217	3	0.0127	-321	321	-211	0	0				
-9000217	3	0.0127	-321	311	111	0	0				
-9000217	2	0.236	-211	111	0	0	0				
-9000217	2	0.16	223	-211	0	0	0				
-9000217	2	0.0159	-321	311	0	0	0				
-9000215	Anti-a2(1700)+	1.732	0.19	5	0	0	0	0	0	-1	1
-9000215	2	1	221	-211	0	0	0				
-9000213	Anti-pi1(1400)+	1.351	0.31	3	0	0	0	0	0	-1	1
-9000213	2	1	221	-211	0	0	0				
-9000211	Anti-a0(980)+	0.9847	0.075	1	0	0	0	0	0	-1	1
-9000211	2	1	221	-211	0	0	0				
-200211	Anti-pi(1800)+	1.801	0.21	1	0	0	0	0	0	-1	6
-200211	3	0.2	221	331	-211	0	0				
-200211	3	0.2	221	221	-211	0	0				
-200211	3	0.1	-211	111	111	0	0				
-200211	3	0.1	-211	-211	211	0	0				
-200211	2	0.2	-323	311	0	0	0				
-200211	2	0.2	-10321	311	0	0	0				
-100323	Anti-K*(1410)+	1.414	0.232	3	0	-1	0	0	0	-1	6
-100323	2	0.582646665	-313	-211	0	0	0				
-100323	2	0.291260934	-323	111	0	0	0				
-100323	2	0.05493128	-311	-211	0	0	0				
-100323	2	0.029088654	-311	-213	0	0	0				
-100323	2	0.027465691	-321	111	0	0	0				
-100323	2	0.014606776	-321	113	0	0	0				
-100313	Anti-K*(1410)0	1.414	0.232	3	0	-1	0	0	0	0	6
-100313	2	0.582646825	-323	211	0	0	0				
-100313	2	0.291260913	-313	111	0	0	0				
-100313	2	0.054931284	-321	211	0	0	0				
-100313	2	0.029088591	-321	213	0	0	0				
-100313	2	0.027465692	-311	111	0	0	0				
-100313	2	0.014606696	-311	113	0	0	0				
-100213	Anti-rho(1450)+	1.465	0.31	3	0	0	0	0	0	-1	1
-100213	2	1	-211	111	0	0	0				
-100211	Anti-pi(1300)+	1.3	0.4	1	0	0	0	0	0	-1	2
-100211	2	0.5	111	-213	0	0	0				
-100211	2	0.5	-211	113	0	0	0				
-53122	Anti-Lambda(1810)	1.81	0.15	2	-1	1	0	0	0	0	7
-53122	2	0.21430585	-2112	313	0	0	0				
-53122	2	0.21430585	-2212	323	0	0	0				
-53122	2	0.166682883	-2112	311	0	0	0				
-53122	2	0.166682883	-2212	321	0	0	0				
-53122	2	0.079340844	-3112	-211	0	0	0				
-53122	2	0.079340844	-3212	111	0	0	0				
-53122	2	0.079340844	-3222	211	0	0	0				
-43324	Anti-Ksi(2030)0	2.025	0.02	6	-1	2	0	0	0	0	3
-43324	2	0.5333	-3222	321	0	0	0				
-43324	2	0.2667	-3212	311	0	0	0				
-43324	2	0.2	-3122	311	0	0	0				
-43314	Anti-Ksi(2030)-	2.025	0.02	6	-1	2	0	0	0	1	3
-43314	2	0.5333	-3112	311	0	0	0				
-43314	2	0.2667	-3212	321	0	0	0				
-43314	2	0.2	-3122	321	0	0	0				
-43122	Anti-Lambda(1800)	1.8	0.3	2	-1	1	0	0	0	0	2
-43122	2	0.5	-2112	311	0	0	0				
-43122	2	0.5	-2212	321	0	0	0				
-42212	Anti-N(1710)+	1.71	0.1	2	-1	0	0	0	0	-1	12
-42212	3	0.080490868	-2112	-211	111	0	0				
-42212	3	0.080490868	-2212	111	111	0	0				
-42212	3	0.080490868	-2212	-211	211	0	0				
-42212	2	0.144941942	-3122	-321	0	0	0				
-42212	2	0.132862947	-2224	211	0	0	0				
